SCHED 1469ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 694 699 ]
SCHED 1479ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 694 700 ]
SCHED 1490ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 695 700 ]
SCHED 1502ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 695 701 ]
SCHED 1513ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 696 701 ]
SCHED 1525ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 696 702 ]
SCHED 1535ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 697 702 ]
SCHED 1545ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 697 703 ]
SCHED 1556ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 698 703 ]
SCHED 1566ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 698 704 ]
SCHED 1576ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 699 704 ]
SCHED 1589ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 699 705 ]
SCHED 1600ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 700 705 ]
SCHED 1638ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 700 706 ]
SCHED 1679ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 701 706 ]
SCHED 1701ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 2 ] schedticks=[ 702 706 ]
SCHED 1712ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 702 707 ]
SCHED 1723ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 702 708 ]
SCHED 1734ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 703 708 ]
SCHED 1745ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 703 709 ]
SCHED 1756ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 704 709 ]
SCHED 1769ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 704 710 ]
SCHED 1779ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 705 710 ]
SCHED 1792ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 2 ] schedticks=[ 706 710 ]
