SCHED 1593ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=287 [ 66 13 ] schedticks=[ 1540 1416 ]
SCHED 1606ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=159 [ 50 126 ] schedticks=[ 1556 1431 ]
SCHED 1618ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=159 [ 34 110 ] schedticks=[ 1572 1447 ]
SCHED 1630ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=158 [ 20 94 ] schedticks=[ 1587 1463 ]
SCHED 1643ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=157 [ 3 79 ] schedticks=[ 1604 1479 ]
SCHED 1653ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=78 [ 69 66 ] schedticks=[ 1617 1492 ]
SCHED 1664ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=78 [ 55 52 ] schedticks=[ 1631 1506 ]
SCHED 1674ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=78 [ 42 39 ] schedticks=[ 1644 1519 ]
SCHED 1685ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=76 [ 29 25 ] schedticks=[ 1658 1534 ]
SCHED 1698ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=76 [ 12 9 ] schedticks=[ 1675 1550 ]
SCHED 1710ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=18 [ 18 33 ] schedticks=[ 1688 1565 ]
SCHED 1722ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=663 [ 18 129 ] schedticks=[ 1688 1580 ]
SCHED 1734ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=8147 [ 17 182 ] schedticks=[ 1689 1580 ]
SCHED 1747ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=8147 [ 17 177 ] schedticks=[ 1689 1587 ]
